Node,Thread,Generations,Rows,Columns,Invasions,Cycles,Instructions,Instructions per Cycle,L1-dcache-load-misses,% of all L1-dcache accesses,L1-dcache-loads,Seconds Time Elapsed
soctf-pdc-008,1,100000,30,40,200,14609566891,30216579116,2.07,538023,0.01,10300470220,4.990701413
soctf-pdc-008,4,100000,30,40,200,18762404828,31063163649,1.66,35026633,0.33,10506923317,1.769766267
soctf-pdc-008,8,100000,30,40,200,24968905769,31405545955,1.26,57670567,0.54,10583847707,1.227073472
soctf-pdc-008,16,100000,30,40,200,54975007637,32186758604,0.59,93169863,0.87,10734383197,1.433717172
soctf-pdc-008,32,100000,30,40,200,202085628994,70982752731,0.35,1318895672,6.39,20654590315,10.496850944
soctf-pdc-008,64,100000,30,40,200,393547391913,118166624351,0.3,2834857716,8.67,32682953554,18.81949497
soctf-pdc-008,1,100000,100,30,200,36369595798,75479120830,2.08,30300844,0.12,25736388598,12.35266755
soctf-pdc-008,4,100000,100,30,200,41726470780,77407289811,1.86,76805198,0.29,26209494676,3.886874249
soctf-pdc-008,8,100000,100,30,200,51144829894,78068674396,1.53,99744419,0.38,26349398334,2.547296564
soctf-pdc-008,16,100000,100,30,200,97425696796,79153294844,0.81,134069784,0.5,26552794964,2.518811742
soctf-pdc-008,32,100000,100,30,200,249305350431,118776598936,0.48,1409457265,3.84,36729424120,12.376285352
soctf-pdc-008,64,100000,100,30,200,445510934654,166303153805,0.37,3052173016,6.25,48827866814,20.223169186
soctf-pdc-008,1,100000,30,100,200,35821619481,75166406121,2.1,18756214,0.07,25651837816,12.202663053
soctf-pdc-008,4,100000,30,100,200,42281871422,77115961827,1.82,67060859,0.26,26124064921,3.923252919
soctf-pdc-008,8,100000,30,100,200,49926149204,77716510375,1.56,92150981,0.35,26258552290,2.466003435
soctf-pdc-008,16,100000,30,100,200,96220925086,78975733303,0.82,125462443,0.47,26488227369,2.48881693
soctf-pdc-008,32,100000,30,100,200,247722771874,118416004297,0.48,1414118802,3.86,36633107471,12.442659848
soctf-pdc-008,64,100000,30,100,200,443804405656,165776659535,0.37,2972137539,6.1,48699558311,20.689047672
soctf-pdc-008,1,100000,50,60,200,36030791113,75113968539,2.08,19513665,0.08,25635635833,12.232145217
soctf-pdc-008,4,100000,50,60,200,42395770596,77067557123,1.82,69734845,0.27,26109469705,3.938473819
soctf-pdc-008,8,100000,50,60,200,52372795103,77733658763,1.48,97936947,0.37,26250210689,2.54527913
soctf-pdc-008,16,100000,50,60,200,103301790563,79137594031,0.77,123104003,0.46,26499464006,2.652429648
soctf-pdc-008,32,100000,50,60,200,254697762726,118579117676,0.47,1461182518,3.98,36672333378,12.973251417
soctf-pdc-008,64,100000,50,60,200,443979320798,165840595752,0.37,3020686692,6.2,48706903843,20.325363326
soctf-pdc-008,1,100000,50,60,300,36292628123,75066244051,2.07,18681302,0.07,25596123110,12.312709106
soctf-pdc-008,4,100000,50,60,300,42193516714,76996062229,1.82,70231178,0.27,26065792206,3.94496493
soctf-pdc-008,8,100000,50,60,300,51093678319,77658937011,1.52,92843399,0.35,26205815091,2.504379813
soctf-pdc-008,16,100000,50,60,300,107907407335,79175092746,0.73,127149311,0.48,26471332221,2.793759415
soctf-pdc-008,32,100000,50,60,300,247058967242,118356539297,0.48,1413889230,3.86,36587618104,12.907231217
soctf-pdc-008,64,100000,50,60,300,442272712645,165743193317,0.37,3008210296,6.18,48655027422,20.258030859
soctf-pdc-008,1,100000,50,60,400,36337181785,75241416114,2.07,20895747,0.08,25650487296,12.323326482
soctf-pdc-008,4,100000,50,60,400,42293628438,77177407503,1.82,71166600,0.27,26121210734,3.953689334
soctf-pdc-008,8,100000,50,60,400,54264308647,77925271716,1.44,100385080,0.38,26273611336,2.74363868
soctf-pdc-008,16,100000,50,60,400,108773200879,79385731111,0.73,128701830,0.49,26531243434,2.828586138
soctf-pdc-008,32,100000,50,60,400,254793240419,118667251148,0.47,1461046487,3.98,36676931106,13.039429129
soctf-pdc-008,64,100000,50,60,400,447091769638,166030244427,0.37,3027648672,6.21,48737545126,20.379379061
soctf-pdc-008,1,100000,80,90,200,86225631210,179997091044,2.09,170904942,0.28,61414326161,29.174312518
soctf-pdc-008,4,100000,80,90,200,93867593845,184411505550,1.96,174354965,0.28,62502288633,8.677895867
soctf-pdc-008,8,100000,80,90,200,123982623750,186173507238,1.5,201682813,0.32,62845357940,5.867594688
soctf-pdc-008,16,100000,80,90,200,170740207196,188175543596,1.1,253826622,0.4,63204787930,4.179854458
soctf-pdc-008,32,100000,80,90,200,406230271286,194422307715,0.48,371057221,0.58,64194766520,17.229785033
soctf-pdc-008,64,100000,80,90,200,579957895825,268811830649,0.46,3004761980,3.58,84036595761,26.458344589
