Generations,Rows,Columns,Invasions,Cycles,Instructions,Instructions per Cycle,L1-dcache-load-misses,% of all L1-dcache accesses,L1-dcache-loads,Seconds Time Elapsed,Node,Thread
100000,50,60,200,273772,325335,2.08,692128,0.08,43113,12.217127842,,
100000,50,60,200,646945,699580,1.83,218909,0.27,840130,3.876298466,soctf-pdc-019,4.0
100000,50,60,200,986709,26273,1.26,900446,0.37,248929,2.891944842,soctf-pdc-019,8.0
100000,50,60,200,796372,446650,0.87,661832,0.52,916507,2.24438251,soctf-pdc-019,16.0
100000,50,60,200,294905,889029,0.31,177817,0.87,958138,3.489417364,soctf-pdc-019,32.0
100000,50,60,200,250413,435180,0.36,877024,5.74,267044,47.054173439,soctf-pdc-019,64.0
100000,80,90,200,631210,91044,2.09,904942,0.28,326161,29.174312518,,
100000,80,90,200,593845,505550,1.96,354965,0.28,288633,8.677895867,soctf-pdc-019,4.0
100000,80,90,200,623750,507238,1.5,682813,0.32,357940,5.867594688,soctf-pdc-019,8.0
100000,80,90,200,207196,543596,1.1,826622,0.4,787930,4.179854458,soctf-pdc-019,16.0
100000,80,90,200,271286,307715,0.48,57221,0.58,766520,5.229785033,soctf-pdc-019,32.0
100000,80,90,200,895825,830649,0.46,761980,3.58,595761,55.458344589,soctf-pdc-019,64.0
100000,30,40,200,292753,898362,2.07,401483,0.01,190363,4.974410902,,
100000,30,40,200,946864,289756,1.68,899803,0.33,987405,1.734092097,soctf-pdc-019,4.0
100000,30,40,200,386915,968050,0.86,237057,0.6,572896,1.754109597,soctf-pdc-019,8.0
100000,30,40,200,980878,296756,0.51,536761,0.92,538832,1.570572316,soctf-pdc-019,16.0
100000,30,40,200,924333,178475,0.19,46837,1.54,15101,2.437530649,soctf-pdc-019,32.0
100000,30,40,200,420889,690911,0.28,947116,7.95,424530,43.187907455,soctf-pdc-019,64.0
100000,100,30,200,201308,620197,2.07,927818,0.12,552519,12.335316827,,
100000,100,30,200,978337,862692,1.85,255572,0.29,116083,3.877420172,soctf-pdc-019,4.0
100000,100,30,200,887538,257021,1.28,146367,0.38,472740,2.927329872,soctf-pdc-019,8.0
100000,100,30,200,998593,447070,0.83,615279,0.54,644531,2.471068329,soctf-pdc-019,16.0
100000,100,30,200,463951,887386,0.31,125541,0.93,144659,3.44104423,soctf-pdc-019,32.0
100000,100,30,200,190998,111253,0.34,275885,5.91,609439,46.854377423,soctf-pdc-019,64.0
100000,30,100,200,604492,679467,2.1,516853,0.06,955619,12.153958253,,
100000,30,100,200,176638,82641,1.8,645645,0.27,157087,3.9661993,soctf-pdc-019,4.0
100000,30,100,200,921986,93153,1.12,87355,0.39,205220,3.32765039,soctf-pdc-019,8.0
100000,30,100,200,629701,404571,0.74,901008,0.63,409653,2.772037855,soctf-pdc-019,16.0
100000,30,100,200,86231,946717,0.34,628444,0.91,50936,3.113988527,soctf-pdc-019,32.0
100000,30,100,200,92745,959932,0.36,167938,5.61,603327,48.129228134,soctf-pdc-019,64.0
100000,50,60,200,85698,715023,2.09,565638,0.08,407369,12.201681986,,
100000,50,60,200,749836,687145,1.82,102798,0.26,282718,3.934436941,soctf-pdc-019,4.0
100000,50,60,200,785949,75414,1.32,484368,0.37,813222,2.835518922,soctf-pdc-019,8.0
100000,50,60,200,172920,382628,0.7,792877,0.58,91551,2.914508572,soctf-pdc-019,16.0
100000,50,60,200,760288,670500,0.28,671353,0.94,306881,3.879061514,soctf-pdc-019,32.0
100000,50,60,200,478188,548441,0.37,494231,5.56,984554,45.484971408,soctf-pdc-019,64.0
100000,50,60,300,287778,45617,2.07,745396,0.07,779830,12.294505091,,
100000,50,60,300,370881,322123,1.77,361168,0.27,323299,4.037115911,soctf-pdc-019,4.0
100000,50,60,300,728487,723978,1.16,260353,0.41,708981,3.246259202,soctf-pdc-019,8.0
100000,50,60,300,989051,550958,0.74,632224,0.57,70817,2.77504967,soctf-pdc-019,16.0
100000,50,60,300,325534,217656,0.31,671032,0.86,906142,3.510242775,soctf-pdc-019,32.0
100000,50,60,400,52837,925201,1.83,163441,0.27,46633,3.913424958,,
