Program,Run,cycles,instructions,insn per cycle,L1-dcache-load-misses,% of all L1-dcache accesses,L1-dcache-loads,seconds time elapsed,Block Size
iom_cpp.out,2.0,599151837734.6666,365559883832.6667,0.61,482786525.0,0.39999999999999997,120694368837.0,7.898485892333333,0
iom_2.cpp.out,2.0,865133061918.6666,396411748778.3333,0.4566666666666667,547165977.0,0.4166666666666667,130994977309.66667,10.566975928333333,2
iom_4.cpp.out,2.0,951370510494.0,400077305888.0,0.42333333333333334,555864721.6666666,0.42,131512507930.66667,11.369957348666667,4
iom_8.cpp.out,2.0,943768684651.0,399315161766.0,0.42333333333333334,572863002.3333334,0.43333333333333335,131404319496.33333,11.314426394666667,8
iom_16.cpp.out,2.0,859160339926.6666,396158270879.6667,0.45999999999999996,534179407.6666667,0.41,130946781494.33333,10.445179639333332,16
iom_32.cpp.out,2.0,851962290229.3334,395752390010.0,0.4633333333333333,543274020.3333334,0.4166666666666667,130890662757.66667,10.382540776666666,32
iom_64.cpp.out,2.0,1537363055086.3333,427830418537.0,0.27666666666666667,504056831.6666667,0.37333333333333335,135406553233.33333,17.351361019666665,64
iom_128.cpp.out,2.0,2490380379958.3335,472766956343.0,0.19000000000000003,454966667.0,0.3233333333333333,141695512150.66666,26.845619572,128
iom_256.cpp.out,2.0,4802240896089.0,579981970264.0,0.12,443255474.3333333,0.28,156863980225.0,50.042694659,256
iom_512.cpp.out,2.0,9247269977779.0,786174993018.0,0.09000000000000001,458861923.0,0.25,186100145263.0,95.118143267,512
